nct_id,titulo,estado,fase,todas_fases,tipo,sponsor,condicion,todas_condiciones,fecha_inicio,año_inicio
NCT01362608,"Safety & Efficacy of Canakinumab (ACZ885) in Patients With Frequent Flares for Whom Nonsterodial Anti-Inflammatory Drug (NSAIDs) and/ or Colchicine Are Contraindicated, Not Tolerated or Ineffective",TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Novartis Pharmaceuticals,Gouty Arthritis,Gouty Arthritis,2011-06-20,2011.0
NCT01431274,Tiotropium+Olodaterol Fixed Dose Combination (FDC) Versus Tiotropium and Olodaterol in Chronic Obstructive Pulmonary Disease (COPD),COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,Boehringer Ingelheim,"Pulmonary Disease, Chronic Obstructive","Pulmonary Disease, Chronic Obstructive",2011-09,2011.0
NCT05797610,A Study to Evaluate the Efficacy and Safety of Sefaxersen (RO7434656) in Participants With Primary Immunoglobulin A (IgA) Nephropathy at High Risk of Progression,RECRUITING,PHASE3,PHASE3,INTERVENTIONAL,Hoffmann-La Roche,Primary IgA Nephropathy,Primary IgA Nephropathy,2023-08-08,2023.0
NCT05061420,A Study of SAR444245 Combined With Other Anticancer Therapies for the Treatment of Participants With HNSCC (Master Protocol) (Pegathor Head and Neck 204),TERMINATED,PHASE2,PHASE2,INTERVENTIONAL,Sanofi,Squamous Cell Carcinoma of Head and Neck,Squamous Cell Carcinoma of Head and Neck,2021-10-08,2021.0
NCT00449982,Efficacy and Safety Study of Polyphenon E to Treat External Genital Warts,COMPLETED,PHASE3,PHASE3,INTERVENTIONAL,MediGene,Condylomata Acuminata,Condylomata Acuminata,2003-07,2003.0
NCT00633789,Phase II Study of Brivanib (BMS-582664) to Treat Multiple Tumor Types,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Bristol-Myers Squibb,Advanced Non-small Cell Lung Cancer,Advanced Non-small Cell Lung Cancer; Transitional Cell Carcinoma; Soft Tissue Sarcoma; Gastric/Esophageal Adenocarcinoma; Pancreatic Cancer Including Ampulla of Vater,2008-06,2008.0
NCT00353574,DORADO-EX: Long-Term Safety Extension Study to the Phase 3 DORADO Study (Protocol DAR-311) of Darusentan in Resistant Hypertension,TERMINATED,PHASE3,PHASE3,INTERVENTIONAL,Gilead Sciences,Hypertension,Hypertension,2006-09,2006.0
NCT04562155,Clinical Study to Evaluate the Efficacy and Safety of Three Different Doses of BAY1817080 Compared to Placebo in Patients With Chronic Cough,COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Bayer,Refractory and/or Unexplained Chronic Cough,Refractory and/or Unexplained Chronic Cough,2020-10-02,2020.0
NCT01888874,Dose-finding Study of GLPG0634 as add-on to Methotrexate in Active Rheumatoid Arthritis Participants (DARWIN1),COMPLETED,PHASE2,PHASE2,INTERVENTIONAL,Galapagos NV,Rheumatoid Arthritis,Rheumatoid Arthritis,2013-07-17,2013.0
NCT04954235,Effectiveness and Safety Study of Specific Hyperimmune Equine Serum for the Treatment of Severe Hospitalized SARS-CoV-2 in Adults: Retrospective Cohort Study,COMPLETED,NO APLICA,NO APLICA,OBSERVATIONAL,Inmunova S.A.,Covid19,Covid19,2021-05-22,2021.0
